Tutorial Group,Group,Student ID,School,Name,Gender,CGPA
G-1,4,5002,CCDS,Aarav Singh,Male,4.02
G-1,6,3838,EEE,Aarti Nair,Female,4.05
G-1,3,2091,EEE,Adlan Bin Rahman,Male,4.2
G-1,5,288,CoB (NBS),Ajay Verma,Male,4.01
G-1,2,4479,CCDS,Amelia Kim,Female,4.11
G-1,1,5708,SoH,Ananya Ramesh,Male,4.2
G-1,1,4563,WKW SCI,Anjali Patel,Female,4.01
G-1,2,3989,WKW SCI,Anthony Liu,Male,4.15
G-1,8,2115,EEE,Anya Kumar,Female,4.03
G-1,10,1383,CoB (NBS),Areeba Khan,Female,4.19
G-1,7,1417,CoE,Darren Lee,Male,4.12
G-1,9,1075,CoB (NBS),Felix Yip,Male,4.08
G-1,4,3148,EEE,Gabriel Young,Male,3.88
G-1,6,4402,CCDS,Grace Turner,Female,4.08
G-1,4,945,MAE,Han Li,Female,4.1
G-1,4,2230,CoB (NBS),Harlow Wang,Female,4.18
G-1,7,4520,EEE,Henry Foster,Male,4.11
G-1,7,567,CoB (NBS),Isabella Thompson,Female,4.03
G-1,6,1841,MAE,Jett Morales,Male,4.12
G-1,2,4576,EEE,Jie Zhang,Male,4.03
G-1,2,5703,SPMS,Karen Lee,Female,4.12
G-1,3,2353,SBS,Karen Wong,Female,3.95
G-1,6,2069,SSS,Kathy Lau,Female,4.48
G-1,4,3861,ASE,Layla Torres,Female,4.52
G-1,2,162,SSS,Lila Patel,Female,4.07
G-1,7,588,MAE,Lucas Walker,Male,4.06
G-1,3,659,SSS,Maria Ivanovna,Female,4.2
G-1,5,4820,CoE,Meera Singh,Female,4.22
G-1,10,2151,EEE,Mei Hong,Female,4.02
G-1,10,235,CCDS,Ming Zhang,Male,4.06
G-1,5,527,EEE,Mohit Desai,Male,4.06
G-1,6,1329,NIE,Nguyen Van Sam,Male,3.85
G-1,7,5119,ADM,Nhung Vu,Female,4.04
G-1,8,809,CoB (NBS),Nisha Das,Female,4.26
G-1,5,2650,SoH,Nurul Shafika,Female,4.09
G-1,8,4657,SoH,Oleg Petrovich,Male,4.0
G-1,3,2818,CoB (NBS),Oliver Tan,Male,4.09
G-1,1,3628,EEE,Omer Ahmed,Male,4.06
G-1,1,1555,MAE,Prerna Gupta,Female,4.04
G-1,1,1271,SSS,Priya Singh,Female,4.17
G-1,3,75,CCDS,Sakina Ahmed,Female,4.03
G-1,8,4338,SPMS,Sana Jain,Female,4.22
G-1,9,71,SoH,Savannah Taylor,Female,4.19
G-1,8,2776,CCEB,Siddharth Nair,Male,4.14
G-1,5,2417,SSS,Truong Minh Chau,Female,3.88
G-1,10,5477,SoH,Vikram Desai,Male,4.09
G-1,10,2326,CoB (NBS),Vivi Dwi,Female,3.95
G-1,9,3930,EEE,Xun Wei,Female,4.18
G-1,9,1645,CoE,Zachary Wu,Male,3.93
G-1,9,592,MSE,Zara Chang,Female,4.11
G-10,7,3329,MAE,Adrian Castillo,Male,4.07
G-10,5,2581,ASE,Alyssa Green,Female,3.94
G-10,1,594,MAE,Ananya Singh,Female,4.2
G-10,2,560,SoH,Ayesha Javed,Female,4.09
G-10,1,3841,SBS,Benjamin Turner,Male,4.06
G-10,10,5624,EEE,Cheng Zhang,Male,4.11
G-10,3,3794,CoB (NBS),Christopher Miller,Male,4.17
G-10,8,2253,EEE,Dante Wu,Male,4.18
G-10,9,298,MAE,Freya Chen,Female,4.09
G-10,6,403,SoH,Hae-Jin Lee,Female,4.52
G-10,4,5734,MAE,Hassan Malik,Male,4.03
G-10,6,611,SPMS,Hendra Mulyana,Male,4.1
G-10,2,3051,LKCMedicine,Hunter Wilson,Male,4.06
G-10,6,565,SoH,Isaiah Scott,Male,4.15
G-10,6,223,MAE,Jaxon Hall,Male,4.12
G-10,3,375,SBS,Kaya Chang,Female,4.05
G-10,5,2031,CCDS,Kendrick Alvarado,Male,4.18
G-10,5,5122,CCEB,Kerry Lim,Female,4.01
